authors,ratings,comments
Adrian M.,5.0,"💐👋 Fantastic!! All-Time Best Sitcom-
FOREVER  'F.R.E.N.D.S.'
RIP🌹Matthew Perry🌺who played Chandler Bing. Kudos to Rachel Green(always💖Jen)🎄 FELIZ NAVIDAD A TODOS 🎅
""F.R.I.E.N.D.S"" is often regarded as one of the greatest sitcoms of all time, and its popularity can be attributed to several factors:
1)Relatable Characters: The six main characters—Rachel, Ross, Monica, Chandler, Joey, and Phoebe—each have distinct personalities and relatable experiences, making them endearing to a wide audience.
2)Humor: The show is known for its clever writing and memorable one-liners, often combining situational comedy with character-driven humor.
Cultural Impact: Since its premiere in 1994, ""F.R.I.E.N.D.S"" has had a lasting influence on pop culture, including fashion, phrases, and social dynamics. Many fans can quote iconic moments or references.
3)Strong Themes: The series explores themes of friendship, love, and personal growth, resonating with viewers at various stages of life.
4)Nostalgia: For many, ""F.R.I.E.N.D.S"" represents a significant part of their youth, contributing to its continued popularity through reruns and streaming.
While opinions on the show can vary, its enduring fan base and critical acclaim suggest that many people find it to be as good as the hype suggests. If you enjoy character-driven comedies, it's likely worth watching!"
Akash Savairam,5.0,"I'm just on 2nd season, & I already love this comic series, this is so special, everyone should watch it, first a few episodes and you're in love with it.

Whenever you feel stressed or overloaded with work and need a stress reliever, just watch one or two episodes & that's it! The series actually teaches us not to be too much serious in life, be simple, be cool and turst in self. All the characters in the series have distinct qualities, everyone has got some weird habits and style but that's what it teaches us, no matter how distinct you look in the crowd you should value your own speciality and not judge yourself with others.

My favorite character is of course Chandler Bing ! Cute guy with excellent humour. Ross is loving and caring, love his style of speaking. Monica is good, she knows she's little strict disciplined by nature but she tries not to impose her rules on others. Rachel is cute, beautiful, love her voice. Pheebs.. she is nice, good example of preserving any weirdness you own. Joey Tribbiani ! how can I forget this guy, always nice to his friends, honest and innocent, knows well how to catch girls.
All together this is a great treat. Simplicity is what makes the series so great. You shouldn't miss this one!"
Steven Solomon,5.0,"I loved them for now and for 10 years. When I was lonely, they were my ""Friends""...I feel like I know every one of them, as characters and the actors themselves. My crush on Jennifer Aniston (along with my disgust with Brad for their break-up), and my strange marvel at David Schwimmer's athleticism (as in the multi-hour catch sequence with Joey and later Monica), and his impromptu juggling were all outstanding. He was definitely my hero in the show, and of course I berated him for all the errors he committed during his courtship of Rachel. Yes, I am one of those incurable romantics that pledged if Ross wouldn't take her, I would certainly make myself available. But, as awkward as it seemed, I was always rooting for them. 

Schwimmer also was impressive as Robert Kardashian in ""The People v. O. J. Simpson"", replete with white hair tufts. He is an exceptional actor.

I also loved all of Matt LeBlanc's antics. He had to be a near-genius in his portrayal of the dim-witted Joey, but he was unquestionably my favorite source of humor. I loved his 5 Season show on Showtime, "" Episodes"", and look forward to more of his playing himself. 

And Lisa Kudrow was also a favorite for her portrayal of the unencumbered Phoebe with her singing to the accompaniment of Ross's bagpipes. What genius!

I am happy there will be a reunion. But since I have lived with them for all 16 years of syndication, I can go on in my limited spare time. Thank you all...You were definitely worth your outrageous salaries."
Fiona Baker,5.0,"One of the best and most heartwarming sitcoms ever. I watched this because of an edit I saw and I never regretted it after.

This show is handsdown one of the best sitcoms ever. I have watched many sitcoms before, like Big Bang, but this one truely changed my vision on love, friendship and life.

For one, the show is way ahead of its time, showing family issues, pregnancy situations and issues, LGBTQ+, being open with loved ones, mental disorders, different religions, and so much more, it really shows how different life is to everybody.

I also loved it because friends actually knows when to put laughing tracks. In the past I have watched some sitcoms, like Big Bang, where they will be in a serious situation and somehow always make a joke out of it. Friends doesn't do that, they have many serious situations (heartwarming, heartbreaking, etc), now sometimes they add jokes in serious situations but they actually know when its okay to add jokes to situations like that, which I think is really important for a sitcom.

Also, it really showcases how much you can love people, blood family or not, and how you can choose your own family, even if they are related to you or not. The 6 main characters love each other like family but only Monika and Ross are related.

I didn't like how quirky they made Monika's OCD but I do understand why they did, if they made it as serious as it is IRL it would've been a way darker show.

I also love the romances in the show, it really captivates how you can love many people at the same time or be stuck on someone you still love, etc.

I just had to make one more paragraph for Matthew Perry, RIP Matt, you were a legendary actor and you will never be forgotten.

Overall friends is an amazing show that is way over its time. If you watch it, you will never regret it."
Siddharth Chaturvedi,5.0,"AWESOME EXTRAORDINARY AND GR8, DEFINITELY REWATCHABLE ATLEAST 1 MILLION+ TIMES.
The females did excellent acting even when they had less screentime. But, the male leads are the real heroes of the friends. They never fail in doing hardwork and making you laugh a lot. Though, they don't act well like female leads but they are highly attractive with their performances.
THIS SERIES IS IMMORTAL AND WILL BE BECOMING VERY GREATER FOR THE NEXT THOUSANDS OF YEARS.
My country has 6 FRIENDS THEMED CAFÉS in Delhi, Kolkata, Bhuvaneshwar, Chandigarh, Pune, Gurgaon. But, there are opposite of this sitcom which is a trash:

How I Met Ur mother, This is us, Big Bang Theory, Brooklyn 99, Modern Family, Simpsons, Family Guy, South Park, Mom, Will And Grace
I found these names from Jayanth Bhandari 777 who rated it 1."
KAITLYN HORTON,5.0,"The show Friends is one of my favorite TV shows. It’s one of the funniest TV shows I have ever watched. Friends is about the lives of six unique adults who overcome different adventures and experiences which makes their lives both troublesome and entertaining. It is funny and the characters are developed very well. My favorite character is chandler because Chandler is a very good and thought-out character. The actor chosen was perfect for the part. All of the actors were chosen perfectly for the part. And all of the episodes were thought out and planned perfectly. It is really hard to get bored of that show. Every episode has its own problem and solution. It is a great show to watch in my free time. It has 10 seasons so it does take some time to watch. Once I started watching it I couldn’t stop watching it. The drama and the humor is really what I love most about it. I would rate this 5/5 stars because it’s the best show I have ever watched. The cast keeps the show interesting. And with the show lasting ten seasons, it never goes downhill. If you like comedy, romance, and drama this is the best show for that."
Ravi Chander,0.0,"LOVE THIS SHOW!!!
So basically this is one of best sitcoms I've ever seen. The way the story revolves around these six bestfriends, how they have this unbreakable bond with each other. Honestly I never get bored seeing this sitcom again and again.  So let us talk about the characters:
 Rachel is a total fashionista 
Monica is an organised freak 
Chandler is the king of sarcasm
Joey is sweet and flirty in front of every woman
Phoebe is weirdo but sweet and funny
Ross is the divorce force and also the dinosaur guy 
These characters basically present a basic life of a human alive now. This show basically made me feel all the feelings, I laughed,  cried and cheered but when this show ended I had that sad emotional feeling.  I'd really like to thank David Crane and Marta Kauffman for making such a wonderful sitcom and of course the actors for playing such magnificent roles.
Phoebe- Lisa Kudrow
Rachel- Jennifer Anniston 
Monica- Courteney Cox 
Ross- David Schwimmer 
Chandler- Matthew Perry 
Joey- Matt le Blanc
I would really like to recommend this show to everyone reading this review. And of course Janice and Gunther were the best. I still remember the way Janice laughed and Gunther's love for Rachel.
I love F.R.I.E.N.D.S !!😍😍"
sarvadnya mistry,0.0,"FANTASTIC!!! Well, to be honest, I never really thought that I would love any sitcoms more than HIMYM, Modern Family, TBBT, and many more before watching this. Just completed watching the last episode and, well, it's no surprise that it's one of the biggest sitcoms of all time. The series has a very unique chemistry that makes you watch the show even more. All the characters have such aura that you feel like they are not just a few characters in a T.V show but the people in real life who you know. The series is filled with love and humour. The series also reminds you of the importance of having friends in your life. 
Okay, now let's talk a bit about the actual series. It basically revolves around six friends with their unbreakable friendship living their lives in New York City. Helping each other through thick and thin, in relationships and personal life issues by always being there for each other.(That's the name of the title song too- 'I'll be there for you')
To make an extraordinarily successful series such as this, along with the powerful script, the casting of the series is a very important aspect which no doubt is PERFECT!!! The fact that Jennifer Aniston was the highest paid T.V actress in the world at that time she also had given birth to something called as 'Rachel Cut' hairstyle which became a trend overnight among girls. Not only her but all the actors including Courtney Cox, Latt Leblanc, Matthew Perry, Lisa Kudrow and David Schwimmer made the show come to life. 

Well, it's not hypothetical to say that the show of this quality, you  MUST WATCH before you die.

Thank you!

My Ratings- 9/10"
Reeta Saini,5.0,"*Friends*, a timeless classic in the world of sitcoms, has earned its place as one of the most beloved shows of all time. It beautifully captures the ups and downs of life, love, friendship, and all the quirky moments in between. Set in New York City, the series follows a tight-knit group of six friends who navigate the challenges of adulthood with humor, heart, and endless wit. What makes *Friends* special is not just its hilarious one-liners but the deep emotional connections it portrays among its characters.

Two standout characters in the series are Phoebe Buffay and Rachel Green. Phoebe, with her eccentric charm and whimsical outlook on life, adds an element of unpredictability to the show. Her quirky personality, complete with her bizarre songs and unconventional wisdom, makes her an absolute joy to watch. She’s a free spirit, yet incredibly kind-hearted, bringing warmth to even the most absurd situations.

Rachel, on the other hand, evolves from a spoiled rich girl to a determined and independent woman. Her journey of self-discovery, from leaving her fiancé at the altar to becoming a successful fashion executive, is truly inspiring. Rachel’s humor, fashion sense, and romantic struggles make her one of the most relatable characters on TV.

Together, Phoebe and Rachel add a dynamic mix of humor, heart, and growth to *Friends*, making it a must-watch for fans of all ages. Whether you're in it for the laughs or the emotional depth, *Friends* has something for everyone."
Hi hi,5.0,"WATCH IT! It’s amazing! The amazing cast keeps the story interesting and despite lasting 10 seasons, the writing never goes down hill. It follows 6 friends: Rachel (Jennifer Aniston), Monica Geller (Courteney Cox), Phoebe Buffay (Lisa Kudrow), Chandler Bing (Matthew Perry), Joey Tribianni (Matt LeBlanc) and Ross Geller (David Schwimmer) as they make their way through their mid 20s to mid 30s. The story can be emotional at times especially in later seasons but it deals with them in mostly a light hearted way. Some scenes are tough to watch especially ones that aren’t for comedic effect as they are well acted and can really get to you. The comedy is really funny and like I said, the acting never gets worse and gets better throughout as the writers learn the characters. Some running gags and jokes are overused in the beginning but they learn to spread them out later on. I recommend this show for teens and up as some of the moments are mature. If you haven’t seen it yet, get yourself on Netflix, Hulu, Amazon prime etc and WATCH IT!"
Danish Javed,5.0,"Hi there!

I’m from Pakistan and have watched tons of series, but ""Friends"" holds a special place in my heart. It's hard to believe it has come to an end—just thinking about it makes me a bit sad.

Whenever I’m feeling bored, I love to dive back into ""Friends."" It always lifts my spirits! The funny thing is, I find myself watching it slowly because I just don’t want it to end. That’s what makes it so special to me! The final scene, where everyone leaves the keys in Monica's apartment, really got to me. I wish it could go on forever!

I absolutely adore all the characters, but I have a soft spot for Matthew (Chandler). And like Joey, I can’t stand being hungry—I just love to eat! Each character is so amazing in their own way. Honestly, I could talk about this series all day long. I wish I could meet any character in real life though. I never thought to meet any celebrity before. One line phoebe Buffey. You're amazing. Ross and Rachel, love face difficulties. Monica (A bond between all friends) 

It’s truly a legendary piece of television!"
