authors,ratings,comments,processed_comments,final_comments,sentiment_scores,sentiment_label,enhanced_sentiment_scores,enhanced_sentiment_label,is_sarcastic
Martin “M” VERGE-OSTIGUY,2.0,"i understand that this show has a cult following and that nostalgia has a lot to do with why people love it it ran from 19942004 i was 2333 at the timeprime target audience these characters these actors are my age i remember thinking courteney cox was so hot

honestly however friends hasnt aged well after rewatching it on netflix im wondering whether it deserves such a following and even if it was that good to begin with the characters are shallow and vacuous making them hard to care for the situations they get involved in are absurd even for a sitcom i understand the show was made in the 90s and we were in a different place i was there but despite the era friends is quite insensitive in many regards pay attention to all the gay jokes

in short i didnt like it as as much as when i originally watched it had to stop because it was making me cringe if you want something thats aged better and still holds up in covid 2020 watch seinfeld instead",i understand that this show have a cult follow and that nostalgia have a lot to do with why people love it it run from 19942004 i be 2333 at the timeprime target audience these character these actors be my age i remember think courteney cox be so hot honestly however friends hasnt age well after rewatching it on netflix im wonder whether it deserve such a follow and even if it be that good to begin with the character be shallow and vacuous make them hard to care for the situations they get involve in be absurd even for a sitcom i understand the show be make in the 90s and we be in a different place i be there but despite the era friends be quite insensitive in many regard pay attention to all the gay joke in short i didnt like it as as much as when i originally watch it have to stop because it be make me cringe if you want something thats age better and still hold up in covid 2020 watch seinfeld instead,understand show cult follow nostalgia lot people love run 19942004 2333 timeprime target audience character actors age remember think courteney cox hot honestly however friends hasnt age well rewatching netflix im wonder whether deserve follow even good begin character shallow vacuous make hard care situations get involve absurd even sitcom understand show make 90s different place despite era friends quite insensitive many regard pay attention gay joke short didnt like much originally watch stop make cringe want something thats age better still hold covid 2020 watch seinfeld instead,"{'neg': 0.101, 'neu': 0.664, 'pos': 0.235, 'compound': 0.95}",positive,"{'neg': 0.101, 'neu': 0.664, 'pos': 0.235, 'compound': 0.95, 'sarcasm': False}",positive,False
Samridhya Moitra,2.0,"when i was a college kid i really enjoyed it but once i grew older and got introduced to better shows and cinema i realized how cringey and heavily flawed friends was every episode is just predicated on one of the characters getting a new bf or a gf romance dating are the driving forces once you watch shows like seinfeld by the way friends is heavily influenced from it but not many people know as seinfeld himself went on to comment that friends just copied from his show replacing the cast with a better looking one schiitts creek the office even tbbt initial few seasons you realize what a good sitcom can be

the characters have no arc of development apart from chandler most of the performances seem overdramatic especially monica rachel and ross perry is the only decent performer simply cause maybe he was playing his real sarcastic self aniston as rachel is just downright annoying and so is cortney cox as monica barring a few good episodes i dont feel it has much to offer",when i be a college kid i really enjoy it but once i grow older and get introduce to better show and cinema i realize how cringey and heavily flaw friends be every episode be just predicate on one of the character get a new bf or a gf romance date be the drive force once you watch show like seinfeld by the way friends be heavily influence from it but not many people know as seinfeld himself go on to comment that friends just copy from his show replace the cast with a better look one schiitts creek the office even tbbt initial few season you realize what a good sitcom can be the character have no arc of development apart from chandler most of the performances seem overdramatic especially monica rachel and ross perry be the only decent performer simply cause maybe he be play his real sarcastic self aniston as rachel be just downright annoy and so be cortney cox as monica bar a few good episodes i dont feel it have much to offer,college kid really enjoy grow older get introduce better show cinema realize cringey heavily flaw friends every episode predicate one character get new bf gf romance date drive force watch show like seinfeld way friends heavily influence many people know seinfeld go comment friends copy show replace cast better look one schiitts creek office even tbbt initial season realize good sitcom character arc development apart chandler performances seem overdramatic especially monica rachel ross perry decent performer simply cause maybe play real sarcastic self aniston rachel downright annoy cortney cox monica bar good episodes dont feel much offer,"{'neg': 0.04, 'neu': 0.69, 'pos': 0.27, 'compound': 0.9798}",positive,"{'neg': 0.04, 'neu': 0.69, 'pos': 0.27, 'compound': 1.0, 'sarcasm': False}",positive,False
Leah Tom,2.0,"at first i saw lots of tshirts about friend and i thought they got popular because of the song but when i realised it was shown i fell in love with it
when i got my new house we watched a random channel and there came the popular showfriends i was like omg this cant be happening i was in shock when my sister started watching it i fell in love automatically i love that show
although there is lots of ina appropriate words its still very fun to see it every single one of the actors are super amazing and very talented i dont know which character is the best but let me tell u one thing i love u friends and sadly they are dont have any more acting going on but luckily its still on tv
thankyou so much for brinign that show up otherwise we would be bored with nothing else to watch i love friends and i even have lots of stuff like calenders and bottles of it",at first i saw lot of tshirts about friend and i think they get popular because of the song but when i realise it be show i fell in love with it when i get my new house we watch a random channel and there come the popular showfriends i be like omg this cant be happen i be in shock when my sister start watch it i fell in love automatically i love that show although there be lot of ina appropriate word its still very fun to see it every single one of the actors be super amaze and very talented i dont know which character be the best but let me tell u one thing i love u friends and sadly they be dont have any more act go on but luckily its still on tv thankyou so much for brinign that show up otherwise we would be bore with nothing else to watch i love friends and i even have lot of stuff like calender and bottle of it,first saw lot tshirts friend think get popular song realise show fell love get new house watch random channel come popular showfriends like omg cant happen shock sister start watch fell love automatically love show although lot ina appropriate word still fun see every single one actors super amaze talented dont know character best let tell u one thing love u friends sadly dont act go luckily still tv thankyou much brinign show otherwise would bore nothing else watch love friends even lot stuff like calender bottle,"{'neg': 0.082, 'neu': 0.485, 'pos': 0.433, 'compound': 0.9933}",positive,"{'neg': 0.082, 'neu': 0.485, 'pos': 0.433, 'compound': 1.0, 'sarcasm': False}",positive,False
Tamás Jósvai,3.0,"the first around 56 seasons it was awesome then it felt somewhat different like they ran out of ideas rachel phoebe ross were unlikable characters in my opinion  the show around the 7th season got boring and it was not funny the laughing track laughed more than me cliche on cliche the 10th season was so mid i fast forwarded to the last episode that was okay  

tldr started good ended up being mid",the first around 56 season it be awesome then it felt somewhat different like they run out of ideas rachel phoebe ross be unlikable character in my opinion the show around the 7th season get bore and it be not funny the laugh track laugh more than me cliche on cliche the 10th season be so mid i fast forward to the last episode that be okay tldr start good end up be mid,first around 56 season awesome felt somewhat different like run ideas rachel phoebe ross unlikable character opinion show around 7th season get bore funny laugh track laugh cliche cliche 10th season mid fast forward last episode okay tldr start good end mid,"{'neg': 0.035, 'neu': 0.594, 'pos': 0.371, 'compound': 0.9597}",positive,"{'neg': 0.035, 'neu': 0.594, 'pos': 0.371, 'compound': 0.9597, 'sarcasm': False}",positive,False
Bhavya v sridhar,3.0,a lot of us in india were introduced to sitcom culture because of friends and i am one of those and like most of them i too ended up watching this several times and over the years after watching many more sitcoms that came before this one aired i realized why this isnt comedy gold overrated and how much it has stolen from other sitcoms how inappropriate and ridiculous certain jokes are apart from all this it is a decent watch with one of the best endings but certainly not the best sitcom ever made,a lot of us in india be introduce to sitcom culture because of friends and i be one of those and like most of them i too end up watch this several time and over the years after watch many more sitcoms that come before this one air i realize why this isnt comedy gold overrate and how much it have steal from other sitcoms how inappropriate and ridiculous certain joke be apart from all this it be a decent watch with one of the best end but certainly not the best sitcom ever make,lot us india introduce sitcom culture friends one like end watch several time years watch many sitcoms come one air realize isnt comedy gold overrate much steal sitcoms inappropriate ridiculous certain joke apart decent watch one best end certainly best sitcom ever make,"{'neg': 0.127, 'neu': 0.536, 'pos': 0.337, 'compound': 0.9168}",positive,"{'neg': 0.127, 'neu': 0.536, 'pos': 0.337, 'compound': 0.9168, 'sarcasm': False}",positive,False
ʚ flurrelia ɞ “Maya”,3.0,"theres been a fair bit of controversy over bill condons liveaction remake of disneys animated 1991 classic beauty and the beast mostly centered over condons proclamation that hes given disney its first canonically openly gay character in an interview with attitude condon described that character the villains sycophantic sidekick lefou as if his sexuality was a significant foregrounded part of the plot and as if it ultimately arrived at some major moment of truth

hes confused about what he wants its somebody whos just realising that he has these feelings and actor josh gad makes something really subtle and delicious out of it and thats what has its payoff at the end which i dont want to give away but it is a nice exclusively gay moment in a disney movie

but when it arrives that nice exclusively gay moment is a onesecond shot of lefou in a fancy ballroomdance finale accidentally shoved into the arms of a nameless man whos wearing drag because of an earlier sight gag it isnt an exclusively gay moment its about a dozen vaguely campy frames much like finding dorys controversial muchballyhooed lesbian couple  two women who appeared in a extremely brief silent reaction shot in the film  lefou is all pr blitz and no actual payoff but the tepidness of this builtup moment hasnt stopped the predictable backlash from online complaints to an alabama theater noisily pulling the film from its lineup proving the bigoted old chestnut why are they pushing their views on us is still alive and well in the world to malaysia banning the film to disneys credit the company has refused to recut the film to appease malaysian censors which is an admirably principled stand to take over a single second of footage",theres be a fair bite of controversy over bill condons liveaction remake of disneys animate 1991 classic beauty and the beast mostly center over condons proclamation that hes give disney its first canonically openly gay character in an interview with attitude condon describe that character the villains sycophantic sidekick lefou as if his sexuality be a significant foreground part of the plot and as if it ultimately arrive at some major moment of truth hes confuse about what he want its somebody whos just realise that he have these feel and actor josh gad make something really subtle and delicious out of it and thats what have its payoff at the end which i dont want to give away but it be a nice exclusively gay moment in a disney movie but when it arrive that nice exclusively gay moment be a onesecond shoot of lefou in a fancy ballroomdance finale accidentally shove into the arm of a nameless man whos wear drag because of an earlier sight gag it isnt an exclusively gay moment its about a dozen vaguely campy frame much like find dorys controversial muchballyhooed lesbian couple two women who appear in a extremely brief silent reaction shoot in the film lefou be all pr blitz and no actual payoff but the tepidness of this builtup moment hasnt stop the predictable backlash from online complaints to an alabama theater noisily pull the film from its lineup prove the bigoted old chestnut why be they push their view on us be still alive and well in the world to malaysia ban the film to disneys credit the company have refuse to recut the film to appease malaysian censor which be an admirably principled stand to take over a single second of footage,theres fair bite controversy bill condons liveaction remake disneys animate 1991 classic beauty beast mostly center condons proclamation hes give disney first canonically openly gay character interview attitude condon describe character villains sycophantic sidekick lefou sexuality significant foreground part plot ultimately arrive major moment truth hes confuse want somebody whos realise feel actor josh gad make something really subtle delicious thats payoff end dont want give away nice exclusively gay moment disney movie arrive nice exclusively gay moment onesecond shoot lefou fancy ballroomdance finale accidentally shove arm nameless man whos wear drag earlier sight gag isnt exclusively gay moment dozen vaguely campy frame much like find dorys controversial muchballyhooed lesbian couple two women appear extremely brief silent reaction shoot film lefou pr blitz actual payoff tepidness builtup moment hasnt stop predictable backlash online complaints alabama theater noisily pull film lineup prove bigoted old chestnut push view us still alive well world malaysia ban film disneys credit company refuse recut film appease malaysian censor admirably principled stand take single second footage,"{'neg': 0.146, 'neu': 0.667, 'pos': 0.186, 'compound': 0.7626}",positive,"{'neg': 0.146, 'neu': 0.667, 'pos': 0.186, 'compound': 0.7626, 'sarcasm': False}",positive,False
Shivansh Panwar,3.0,"this show is quite funny and a bit stupid sometimes
the way they disrespect the indian culture is not acceptable at all
but overall this show is worth watching 
i recommend to watch this show at least once specially if you are into sitcoms 
 every character brings something unique and funny in their own way maybe you dont like the last few seasons but the first  6 seasons are the core of the show",this show be quite funny and a bite stupid sometimes the way they disrespect the indian culture be not acceptable at all but overall this show be worth watch i recommend to watch this show at least once specially if you be into sitcoms every character bring something unique and funny in their own way maybe you dont like the last few season but the first 6 season be the core of the show,show quite funny bite stupid sometimes way disrespect indian culture acceptable overall show worth watch recommend watch show least specially sitcoms every character bring something unique funny way maybe dont like last season first 6 season core show,"{'neg': 0.169, 'neu': 0.572, 'pos': 0.258, 'compound': 0.5442}",positive,"{'neg': 0.169, 'neu': 0.572, 'pos': 0.258, 'compound': 0.7442, 'sarcasm': False}",positive,False
Prasidhi Saha,4.0,i started watching friends last year and i think i have made the best decision everits so funny but at the same time very relatable especially chandler bing every character is unique in their own way and gets better i love it so much and would recommend it 100 percent,i start watch friends last year and i think i have make the best decision everits so funny but at the same time very relatable especially chandler bing every character be unique in their own way and get better i love it so much and would recommend it 100 percent,start watch friends last year think make best decision everits funny time relatable especially chandler bing every character unique way get better love much would recommend 100 percent,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.9628}",positive,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 1.0, 'sarcasm': False}",positive,False
dhriti prasad,4.0,"i love friends with that said lets face it some of the episodes arent immune to time there are some pretty trans and homophobic jokes and a lot of body shaming which doesnt fly in this time period but with all that aside i think its a great sitcom and its definitely a mustwatch
the characters are memorable most of the jokes if not all are hilarious and all in all its great fun",i love friends with that say let face it some of the episodes arent immune to time there be some pretty trans and homophobic joke and a lot of body sham which doesnt fly in this time period but with all that aside i think its a great sitcom and its definitely a mustwatch the character be memorable most of the joke if not all be hilarious and all in all its great fun,love friends say let face episodes arent immune time pretty trans homophobic joke lot body sham doesnt fly time period aside think great sitcom definitely mustwatch character memorable joke hilarious great fun,"{'neg': 0.083, 'neu': 0.388, 'pos': 0.528, 'compound': 0.9753}",positive,"{'neg': 0.083, 'neu': 0.388, 'pos': 0.528, 'compound': 0.9753, 'sarcasm': False}",positive,False
Fatima Zahra,4.0,its a season which was recommended by a friend of mine and i dont regret watching this  its really interesting and full of new things which makes you curious to watch the next episode i would recommend this to everyone i know  at first i thought its not my type but i was wrong  everything in it is beautifully described  friends is basically about 6 different people for different backgrounds ,its a season which be recommend by a friend of mine and i dont regret watch this its really interest and full of new things which make you curious to watch the next episode i would recommend this to everyone i know at first i think its not my type but i be wrong everything in it be beautifully describe friends be basically about 6 different people for different background,season recommend friend mine dont regret watch really interest full new things make curious watch next episode would recommend everyone know first think type wrong everything beautifully describe friends basically 6 different people different background,"{'neg': 0.061, 'neu': 0.49, 'pos': 0.449, 'compound': 0.9573}",positive,"{'neg': 0.061, 'neu': 0.49, 'pos': 0.449, 'compound': 1.0, 'sarcasm': False}",positive,False
